Harness #,Shipped,Requested,Type,AWG,Wire Lot,Length (Meters),Cut,Cutter,Stripped,Stripper,45pin paddle code,15pin paddle code,Soldered,Solder,Solderer,Continuity + shorts,OK/NG,Repairs,Cleaned,Continuity,OK/NG,Repairs,Epoxy,Epoxy type,Epoxier,Continuity + shorts,OK/NG,Repairs,Lashing,Continuity + shorts,OK/NG,Visual inspection,Turned over,Repaired,Visual inspection 2,weeknum,Turned over 2,Notes,week of completion,,,,,,,,,,
120,,11-04-20,4,36,,0.800,11-05-20,,01-28-21,,,,,,,,,,,,,,,,,,,,04-13-21,04-13-21,OK ,,04-15-21,,,,,"Circuit 5 open, Burned stray epoxy from ""B"" ends.",,,,,,,,,,,
121,,11-04-20,4,36,,1.000,11-06-20,,01-28-21,,,,,,,,,,,,,,,,,,,,,,,,04-06-21,,,,,dropped off without lashing.  Completed lashing,,,,,,,,,,,
122,,11-04-20,4,36,,1.400,11-30-20,,01-28-21,,,,03-02-21,,,,,,,,,,03-26-21,UR6060,,,,,,,,,????,,,,,,,,,,,,,,,,
123,,11-04-20,4,36,,1.600,01-21-21,,01-28-21,,,,,,,,OK,,,,,,02-23-21,UR6060,,02-24-21,OK ,,02-24-21,02-24-21,NG/OK,,02-25-21,,,,,"Second spool of wire,  remaining first spool sent to CERN. Broken Paddle board",,,,,,,,,,,
124,,11-04-20,4,36,,1.600,01-21-21,,01-28-21,,,,02-26-21,,,03-01-21,OK ,,,,,,,,,,,,,03-18-21,OK ,,03-18-21,2021-02-24,,,,"circuit 1"" & 2"" shorted.  moved wire, re-epoxied. broken paddle board",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,11-23-20,Test,36,,0.350,12-01-20,,12-08-20,,,,12-16-20,,,12-16-20,OK ,,,,,,N/A,none,,12-18-20,OK ,,12-19-20,12-19-20,OK ,,12-19-20,,,,,,,,,,,,,,,,
126,,11-23-20,Test,36,,0.350,12-01-20,,12-08-20,,,,12-09-20,,,12-09-20,NG/OK,,,,,,12-18-20,UR6060,,12-18-20,OK ,,12-19-20,12-19-20,OK ,,12-19-20,,,,,UR 6060 epoxy for lashing start onlyOK debris in connector making circuit 6 to appear openCircuit 6 open Cornell,,,,,,,,,,,
127,,11-23-20,Test,36,,0.350,12-01-20,,12-08-20,,,,12-16-20,,,12-16-20,OK ,,,,,,12-16-20,2011,,12-17-20,OK ,,12-18-20,12-18-20,OK ,,12-18-20,2020-12-11,,,,"UR 6060 epoxy Circuits 6, 7 & 10 open location problem?? boards tight  wrong checker used, changed to new boards",,,,,,,,,,,
